Bill Number,Bill State,Bill Session,Summary,Crypto Impact,DCTA Analysis,timestamp
SB 178,Montana,2023 Regular Session,"The bill text focuses on the regulation of virtual currencies, also known as digital or cryptocurrencies. The bill defines virtual currencies, and sets up a regulatory framework for them. The bill would require persons engaged in virtual currency business activity to obtain a license from the Montana Department of Banking and Financial Institutions. The bill would also create the offense of operating an unlicensed virtual currency business.  2.","The bill would have a direct impact on cryptocurrencies, by regulating them and requiring persons engaged in cryptocurrency business activity to obtain a license. The bill could potentially impact the financial industry, technology, security, or digital asset mining.  3.","The DCTA might view the bill favorably, as it creates a regulatory framework for cryptocurrencies. The DCTA's mission is to create a supportive environment for digital currency traders and give a voice to everyday consumers.",5/11/2023 8:16
SB 633,Pennsylvania,2023-2024 Regular Session,"The bill, if passed, would establish the Pennsylvania Blockchain Initiative within the Department of Commerce. The purpose of the Initiative would be to promote the use of blockchain technology in the Commonwealth and to encourage investment in blockchain technology. The bill would appropriate $500,000 from the General Fund to the Department of Commerce to fund the Initiative.  2.",The bill would have a positive impact on cryptocurrency and blockchain technology. The bill would promote the use of blockchain technology and encourage investment in blockchain technology. This would help to further legitimize and mainstream cryptocurrency and blockchain technology.  3.,The DCTA would view the bill favorably as it would promote the use of blockchain technology and encourage investment in blockchain technology. This would help to further legitimize and mainstream cryptocurrency and blockchain technology.,5/11/2023 8:21
HB 1600,Oklahoma,2023 Regular Session,"The bill text proposes amendments to the Oklahoma Uniform Securities Act that would establish a regulatory framework for digital assets and digital asset trading platforms. The bill would define ""digital asset"" as a digital representation of value that is used as a medium of exchange, unit of account, or store of value, and is not recognized as legal tender by the United States government. The bill would also establish requirements for digital asset trading platforms, including registration, recordkeeping, and anti-money laundering compliance. The bill would exempt digital asset trading platforms from certain provisions of the Oklahoma Uniform Securities Act.  2.","The bill would have a direct impact on cryptocurrency and blockchain technology by establishing a regulatory framework for digital assets and digital asset trading platforms. The bill would define ""digital asset"" as a digital representation of value that is used as a medium of exchange, unit of account, or store of value, and is not recognized as legal tender by the United States government. This definition would include cryptocurrency. The bill would also establish requirements for digital asset trading platforms, including registration, recordkeeping, and anti-money laundering compliance. The bill would exempt digital asset trading platforms from certain provisions of the Oklahoma Uniform Securities Act.  3.","The Digital Currency Traders Alliance (DCTA) would likely view the bill favorably, as it would establish a regulatory framework for digital assets and digital asset trading platforms. The bill would define ""digital asset"" as a digital representation of value that is used as a medium of exchange, unit of account, or store of value, and is not recognized as legal tender by the United States government. This definition would include cryptocurrency. The bill would also establish requirements for digital asset trading platforms, including registration, recordkeeping, and anti-money laundering compliance. The bill would exempt digital asset trading platforms from certain provisions of the Oklahoma Uniform Securities Act.",5/11/2023 8:22
HB 690,North Carolina,2023-2024 Session,"The bill, titled ""An Act to Promote Consumer Protection in Virtual Currency Transactions"", was introduced in the North Carolina House of Representatives on March 8, 2021. The bill's primary sponsor is Rep. Jason Saine. If enacted, the bill would create new consumer protection regulations for virtual currency transactions. The bill would require virtual currency businesses to obtain a license from the North Carolina Commissioner of Banks, and would subject those businesses to the same consumer protection laws that apply to other financial institutions. The bill would also create a new crime of ""unlicensed virtual currency business activity"", punishable by a fine of up to $25,000.  2.","The bill would have a direct impact on cryptocurrency businesses operating in North Carolina. The bill would require those businesses to obtain a license from the North Carolina Commissioner of Banks, and would subject them to the same consumer protection laws that apply to other financial institutions. The bill would also create a new crime of ""unlicensed virtual currency business activity"", punishable by a fine of up to $25,000.  3.","The DCTA would likely view the bill favorably, as it would create a more supportive environment for digital currency traders in North Carolina. The bill's requirements for licensing and compliance with consumer protection laws would give digital currency traders more confidence in the safety and legitimacy of their transactions.",5/11/2023 8:28
SB 770,Texas,88th Legislature (2023),"The bill's purpose is to codify virtual currencies under existing law and to provide for certain limited exemptions. The bill's main provisions relate to the treatment of virtual currencies as property, the applicability of money transmitter laws, and the creation of a task force to study virtual currencies. The bill has the potential to impact cryptocurrencies and blockchain technology by providing greater clarity and certainty with respect to the legal status of virtual currencies and by bringing virtual currency activities within the scope of existing regulation.  2.",The bill's provisions relating to the treatment of virtual currencies as property and the applicability of money transmitter laws could have a significant impact on the cryptocurrency industry. The bill's provision creating a task force to study virtual currencies could also result in greater scrutiny of the industry and lead to additional regulation in the future.  3.,"The DCTA would likely view the bill favorably, as it provides greater clarity and certainty with respect to the legal status of virtual currencies. However, the DCTA would also be concerned about the bill's provisions relating to the applicability of money transmitter laws, as this could result in greater regulation of the industry.",5/11/2023 9:16
AB 1336,California,2023-2024 Regular Session,"The bill, introduced by Assembly Member Marc Berman, aims to create greater transparency and accountability around the use of personal data by internet service providers (ISPs). The bill would require ISPs to get explicit consent from customers before collecting, using, or sharing their personal data. It would also give customers the right to know what personal data is being collected about them, the right to have that data deleted, and the right to opt out of data collection. The bill would create penalties for companies that violate these provisions, including a fine of up to $7,500 per violation.  2.","The bill does not directly relate to cryptocurrency or blockchain technology. However, it could indirectly impact the financial industry by creating greater transparency and accountability around the use of personal data. This could make it more difficult for companies to collect and use data without the consent of the people involved, which could in turn make it more difficult for financial institutions to track and monitor transactions.  3.","The DCTA might view the bill as a positive step towards creating greater transparency and accountability around the use of personal data. However, they may also be concerned about the potential impact on the financial industry and the ability of companies to collect and use data without the consent of the people involved.",5/11/2023 9:40
SB 359,Montana,2023 Regular Session,"The bill text focuses on the regulation of digital assets, including cryptocurrencies. The bill would create a new type of financial institution, called a digital asset depository, which would be responsible for holding, transferring, and safeguarding digital assets. The bill would also establish a digital asset board to oversee the regulation of digital assets and digital asset depository institutions.  2.","The bill would have a direct impact on cryptocurrencies, as it would establish a new regulatory framework for them. The bill could potentially make it easier for investors to trade cryptocurrencies, as there would be a new type of financial institution designed specifically for holding and transferring them. However, the bill could also make it more difficult for cryptocurrency businesses to operate, as they would be subject to the oversight of a new digital asset board.  3.","The DCTA might view the bill favorably, as it could potentially make it easier for investors to trade cryptocurrencies. However, the DCTA might also be concerned about the increased regulation of cryptocurrencies that the bill would bring about.",5/11/2023 9:51
SB 396,Nevada,2023 Regular Session,"The bill proposes to allow the operation of digital currency businesses in the state of Nevada. The bill defines digital currency as ""a digital representation of value that is used as a medium of exchange, a unit of account, or a store of value"" and blockchain technology as ""a decentralized, distributed, and often public digital ledger that is used to record transactions across many computers so that the record cannot be altered retroactively without the alteration of all subsequent blocks and the collusion of the network"". The bill would create a regulatory framework for digital currency businesses, including a licensing system and requirements for anti-money laundering compliance. The bill would also exempt digital currency businesses from certain state money transmitter laws.  2.",The bill would have a positive impact on the cryptocurrency industry by creating a regulatory framework for digital currency businesses and exempting them from certain state money transmitter laws. The bill would also have a positive impact on blockchain technology by creating a regulatory framework for businesses that use blockchain technology.  3.,The DCTA would view the bill favorably as it creates a supportive environment for digital currency businesses and gives a voice to everyday consumers.,5/11/2023 10:04
HB 1666,Texas,88th Legislature (2023),"The bill, titled ""Relating to the creation of the offenses of money laundering and terrorist financing; providing penalties,"" seeks to establish criminal penalties for money laundering and terrorist financing in the state of Texas. The bill defines money laundering as ""a financial transaction or series of financial transactions that: (1) generates an asset or assets; (2) has a value that is greater than or equal to $2,500; and (3) is designed to conceal or disguise the true nature, location, source, ownership, or control of the asset or assets."" The bill defines terrorist financing as ""providing material support or resources, including a financial transaction or series of financial transactions, with the intent or knowledge that the material support or resources are to be used in whole or in part, in preparation for, or in carrying out, an act of terrorism, as defined by Section 469.001, Government Code.""  The bill would make money laundering and terrorist financing punishable as follows:  (1) a felony of the first degree if the value of the asset or assets involved is $200,000 or more;  (2) a felony of the second degree if the value of the asset or assets involved is $100,000 or more but less than $200,000;  (3) a felony of the third degree if the value of the asset or assets involved is $20,000 or more but less than $100,000;  (4) a state jail felony if the value of the asset or assets involved is $2,500 or more but less than $20,000; or  (5) a Class A misdemeanor if the value of the asset or assets involved is less than $2,500.  In addition, the bill would make it a felony of the second degree to engage in terrorist financing, regardless of the value of the asset or assets involved.  The bill would also establish civil penalties for money laundering and terrorist financing, as follows:  (1) a civil penalty of not more than $10,000 if the value of the asset or assets involved is $200,000 or more;  (2) a civil penalty of not more than $5,000 if the value of the asset or assets involved is $100,000 or more but less than $200,000;  (3) a civil penalty of not more than $2,500 if the value of the asset or assets involved is $20,000 or more but less than $100,000; or  (4) a civil penalty of not more than $1,000 if the value of the asset or assets involved is less than $20,000.  2.","The bill does not directly relate to cryptocurrency or blockchain technology, but it could have an indirect impact on the financial industry, technology, security, or digital asset mining. The bill seeks to establish criminal penalties for money laundering and terrorist financing, which could conceivably be carried out using cryptocurrency or blockchain technology. In addition, the bill would establish civil penalties for money laundering and terrorist financing, which could also impact the financial industry, technology, security, or digital asset mining.  3.","The DCTA might view the bill as a positive step in the fight against money laundering and terrorist financing. The DCTA's mission is to create a supportive environment for digital currency traders and give a voice to everyday consumers, and the bill's provisions could help to accomplish both of those goals.",5/11/2023 10:17
SB 185,Louisiana,2023 Regular Session,"The bill, if enacted, would prohibit the Louisiana Office of Financial Institutions from approving any charter for a credit union that has the primary purpose of serving the business activities of any specific industry or profession. It would also prohibit the office from approving the charter of any credit union with a field of membership that is limited to a geographic area that is smaller than a parish. The bill would take effect upon signature of the governor.  2.","This bill does not directly relate to cryptocurrency or blockchain technology. However, it could indirectly impact the financial industry by limiting the ability of credit unions to serve specific industries or professions. This could make it more difficult for businesses in the cryptocurrency industry to obtain banking services.  3.","The DCTA would likely view this bill negatively, as it could make it more difficult for businesses in the cryptocurrency industry to obtain banking services.",5/11/2023 11:07
