Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
HB 3768,Texas,88th Legislature (2023),Relating to the formation of decentralized unincorporated associations and the use of distributed ledger or blockchain technology for certain business purposes; authorizing a fee.,Mar 07 2023,"Placed On Local, Consent, And Res. Calendar",May 12 2023,https://openstates.org/tx/bills/88/HB3768/,Donna Howard,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB03768H.HTM
HB 1666,Texas,88th Legislature (2023),Relating to the commingling of funds by digital asset service providers; providing an administrative penalty.,Jan 26 2023,Reported Favorably As Substituted,May 10 2023,https://openstates.org/tx/bills/88/HB1666/,Tan Parker,David Cook; Penny Morales Shaw,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01666S.HTM
HB 5067,Texas,88th Legislature (2023),Relating to a study by the General Land Office on the establishment and implementation by the General Land Office of a distributed ledger-based title registry pilot program.,Mar 10 2023,Transferred To Calendars Committee,May 10 2023,https://openstates.org/tx/bills/88/HB5067/,Salman Bhojani,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB05067H.HTM
SB 185,Louisiana,2023 Regular Session,COMMERCIAL REGULATIONS: Provides relative to the licensing and regulation of virtual businesses. (8/1/23) (RE NO IMPACT   See Note),Mar 31 2023,"Read By Title, Under The Rules, Referred To The Committee On Commerce.",May 10 2023,https://openstates.org/la/bills/2023/SB185/,Mike Reese,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313501
SB 633,Pennsylvania,2023-2024 Regular Session,"An Act establishing the Regulatory Sandbox Program, the Regulatory Relief Office and an advisory committee; and providing for their powers and duties.",Apr 24 2023,Re-Referred To Appropriations,May 09 2023,https://openstates.org/pa/bills/2023-2024/SB633/,Jarrett Coleman,Kristin Phillips-Hill; Patrick J. Stefano; Michele Brooks,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0633&pn=0629
RC 916,Puerto Rico,2021-2024 Session,"Para ordenar a la Comisión de Gobierno de la Cámara de Representantes del Estado Libre Asociado de Puerto Rico, realizar una investigación sobre los efectos, positivos y negativos, que podría tener la implementación de tokens como método de intercambio por acciones, comportamientos o aportaciones de los ciudadanos a cambio de servicios o beneficios de parte del gobierno, creando una relación más estrecha, confiable y transparente, de mutuo beneficio, entre los ciudadanos y el gobierno.",Jan 26 2023,Texto De Aprobación Final En Cámara,May 09 2023,https://openstates.org/pr/bills/2021-2024/RC916/,Jesús Manuel Ortiz González,,https://sutra.oslpr.org/osl/SUTRA/anejos/143467/RC0916-entirillado.docx
SB 227,Louisiana,2023 Regular Session,TAX EXEMPTIONS: Provides for state and local sales and use taxes on digital art sold in a cultural product district. (gov sig) (EG DECREASE GF RV See Note),Apr 18 2023,"Read By Title, Under The Rules, Referred To The Committee On Ways And Means.",May 09 2023,https://openstates.org/la/bills/2023/SB227/,Royce Duplessis,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313085
HB 1600,Oklahoma,2023 Regular Session,Digital asset mining; sales tax exemption; effective date.,Feb 06 2023,"Sa's Rejected, Conference Requested, Conferees To Be Named Later",May 08 2023,https://openstates.org/ok/bills/2023/HB1600/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB1600 FULLPCS1 RYAN MARTINEZ-MJ.PDF
SB 711,California,2023-2024 Regular Session,Community colleges: blockchain industry report.,Feb 16 2023,May 8 Hearing: Placed On Appr Suspense File.,May 08 2023,https://openstates.org/ca/bills/20232024/SB711/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240SB711&version=20230SB71197AMD
SB 178,Montana,2023 Regular Session,Generally revise cryptocurrency laws,Nov 13 2022,Chapter Number Assigned,May 05 2023,https://openstates.org/mt/bills/2023/SB178/,Daniel Zolnikov,,https://leg.mt.gov/bills/2023/SB0199//SB0178_X.pdf
SB 1390,Florida,2023 Regular Session,Universal Regulatory Sandbox,Mar 01 2023,"Died In Appropriations Committee On Transportation, Tourism, And Economic Development",May 05 2023,https://openstates.org/fl/bills/2023/SB1390/,Jonathan Martin,,https://flsenate.gov/Session/Bill/2023/1390/BillText/Filed/HTML
HB 1287,Florida,2023 Regular Session,Universal Regulatory Sandbox,Mar 01 2023,Died In Regulatory Reform & Economic Development Subcommittee,May 05 2023,https://openstates.org/fl/bills/2023/HB1287/,Mike Giallombardo,,https://flsenate.gov/Session/Bill/2023/1287/BillText/Filed/PDF
HF 618,Iowa,2023-2024 Regular Session,"A bill for an act relating to commercial transactions, including control and transmission of electronic records and digital assets.",Mar 03 2023,Rereferred To Judiciary.,May 04 2023,https://openstates.org/ia/bills/2023-2024/HF618/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/AMDI/90/H1235.pdf
S 1891,New York,2023 Regular Session,Establishes the New York state cryptocurrency and blockchain study task force,Jan 17 2023,Advanced To Third Reading,May 01 2023,https://openstates.org/ny/bills/2023-2024/S1891/,James Sanders Jr.,Joseph P. Addabbo Jr; Leroy Comrie; Jeremy A. Cooney; Pete Harckham; Rachel May; Zellnor Myrie; Jessica Scarcella-Spanton; Luis R. Sepúlveda,http://assembly.state.ny.us/leg/?sh=printbill&bn=S1891&term=2023&Text=Y
LD 1070,Maine,131st Legislature (2023-2024),An Act To Increase Ballot Transparency With Blockchain Technology,Mar 09 2023,Voted - Divided Report,Apr 28 2023,https://openstates.org/me/bills/131/LD1070/,Eric Brakey,David BOYER,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0439&item=1&snum=131
SB 696,Rhode Island,2023 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, add consumer protections, including minimum capital requirements and limits on investments.)",Mar 22 2023,04/25/2023 Committee Recommended Measure Be Held For Further Study,Apr 25 2023,https://openstates.org/ri/bills/2023/SB696/,Roger A. Picard,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0696.pdf
