Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HB 3768,TX,Relating to the formation...,Relating to the formation of decentralized unincorporated associations and the use of distributed ledger or blockchain technology for certain business purposes; authorizing a fee.,Mar 07 2023,"Placed On Local, Consent, And Res. Calendar",May 12 2023,https://openstates.org/tx/bills/88/HB3768/,Donna Howard,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB03768H.HTM,bf948bb6cc2d71fb0bb94c8422aa6d0e19f8d2ae
HB 1666,TX,Relating to the commingli...,Relating to the commingling of funds by digital asset service providers; providing an administrative penalty.,Jan 26 2023,Reported Favorably As Substituted,May 10 2023,https://openstates.org/tx/bills/88/HB1666/,Tan Parker,David Cook; Penny Morales Shaw,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01666S.HTM,ccc412ab25685261f0714981585c3a5c38805ff1
HB 5067,TX,Relating to a study by th...,Relating to a study by the General Land Office on the establishment and implementation by the General Land Office of a distributed ledger-based title registry pilot program.,Mar 10 2023,Transferred To Calendars Committee,May 10 2023,https://openstates.org/tx/bills/88/HB5067/,Salman Bhojani,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB05067H.HTM,f543f06b1a38bee649fd3411e26bdde762efe682
SB 185,LA,COMMERCIAL REGULATIONS: P...,COMMERCIAL REGULATIONS: Provides relative to the licensing and regulation of virtual businesses. (8/1/23) (RE NO IMPACT   See Note),Mar 31 2023,"Read By Title, Under The Rules, Referred To The Committee On Commerce.",May 10 2023,https://openstates.org/la/bills/2023/SB185/,Mike Reese,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313501,7d9a9ce9298b29e23b4e50e81e739ac796ae09c6
SB 633,PA,An Act establishing the R...,"An Act establishing the Regulatory Sandbox Program, the Regulatory Relief Office and an advisory committee; and providing for their powers and duties.",Apr 24 2023,Re-Referred To Appropriations,May 09 2023,https://openstates.org/pa/bills/2023-2024/SB633/,Jarrett Coleman,Kristin Phillips-Hill; Patrick J. Stefano; Michele Brooks,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0633&pn=0629,107b241ac3a0afc1ec6f989a97ae5f4fd693c5ad
RC 916,PR,Para ordenar a la Comisió...,"Para ordenar a la Comisión de Gobierno de la Cámara de Representantes del Estado Libre Asociado de Puerto Rico, realizar una investigación sobre los efectos, positivos y negativos, que podría tener la implementación de tokens como método de intercambio por acciones, comportamientos o aportaciones de los ciudadanos a cambio de servicios o beneficios de parte del gobierno, creando una relación más estrecha, confiable y transparente, de mutuo beneficio, entre los ciudadanos y el gobierno.",Jan 26 2023,Texto De Aprobación Final En Cámara,May 09 2023,https://openstates.org/pr/bills/2021-2024/RC916/,Jesús Manuel Ortiz González,,https://sutra.oslpr.org/osl/SUTRA/anejos/143467/RC0916-entirillado.docx,886e13dc630264d2928b349281e7de17a76ad022
SB 227,LA,TAX EXEMPTIONS: Provides ...,TAX EXEMPTIONS: Provides for state and local sales and use taxes on digital art sold in a cultural product district. (gov sig) (EG DECREASE GF RV See Note),Apr 18 2023,"Read By Title, Under The Rules, Referred To The Committee On Ways And Means.",May 09 2023,https://openstates.org/la/bills/2023/SB227/,Royce Duplessis,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313085,9e6e73da84da6ce3e36c142b97f2b8a460e17c6b
HB 1600,OK,Digital asset mining; sal...,Digital asset mining; sales tax exemption; effective date.,Feb 06 2023,"Sa's Rejected, Conference Requested, Conferees To Be Named Later",May 08 2023,https://openstates.org/ok/bills/2023/HB1600/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB1600 FULLPCS1 RYAN MARTINEZ-MJ.PDF,4a1adf7bc5050e8eed5cbd7c47b47ab2c19605e8
SB 711,CA,Community colleges: block...,Community colleges: blockchain industry report.,Feb 16 2023,May 8 Hearing: Placed On Appr Suspense File.,May 08 2023,https://openstates.org/ca/bills/20232024/SB711/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240SB711&version=20230SB71197AMD,ea368fab5d93750e8ad4a4530126b015013c1ff4
SB 178,MT,Generally revise cryptocu...,Generally revise cryptocurrency laws,Nov 13 2022,Chapter Number Assigned,May 05 2023,https://openstates.org/mt/bills/2023/SB178/,Daniel Zolnikov,,https://leg.mt.gov/bills/2023/SB0199//SB0178_X.pdf,25fba560f1d9153e476a0a8a6c4c72776766bf51
