Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
SB 5187,Washington,WA,2023-2024 Regular Session,Making 2023-2025 fiscal b...,Making 2023-2025 fiscal biennium operating appropriations.,Jan 06 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 24 2023,https://openstates.org/wa/bills/2023-2024/SB5187/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5187.htm,45db96a51fd6e2be197ddcc351575ea0d927c65a
SB 633,Pennsylvania,PA,2023-2024 Regular Session,An Act establishing the R...,"An Act establishing the Regulatory Sandbox Program, the Regulatory Relief Office and an advisory committee; and providing for their powers and duties.",Apr 24 2023,Pn 0629 Referred To Intergovernmental Operations,Apr 24 2023,https://openstates.org/pa/bills/2023-2024/SB633/,Jarrett Coleman,Kristin Phillips-Hill; Patrick J. Stefano,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0633&pn=0629,107b241ac3a0afc1ec6f989a97ae5f4fd693c5ad
HB 3768,Texas,TX,88th Legislature (2023),Relating to the formation...,Relating to the formation of decentralized unincorporated associations and the use of distributed ledger or blockchain technology for certain business purposes; authorizing a fee.,Mar 07 2023,Left Pending In Committee,Apr 24 2023,https://openstates.org/tx/bills/88/HB3768/,Donna Howard,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB03768I.HTM,bf948bb6cc2d71fb0bb94c8422aa6d0e19f8d2ae
SB 178,Montana,MT,2023 Regular Session,Generally revise cryptocu...,Generally revise cryptocurrency laws,Nov 13 2022,Transmitted To Governor,Apr 24 2023,https://openstates.org/mt/bills/2023/SB178/,Daniel Zolnikov,,https://leg.mt.gov/bills/2023/SB0199//SB0178_X.pdf,25fba560f1d9153e476a0a8a6c4c72776766bf51
HB 1600,Oklahoma,OK,2023 Regular Session,Digital asset mining; sal...,Digital asset mining; sales tax exemption; effective date.,Feb 06 2023,Referred For Engrossment,Apr 24 2023,https://openstates.org/ok/bills/2023/HB1600/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB1600 FULLPCS1 RYAN MARTINEZ-MJ.PDF,4a1adf7bc5050e8eed5cbd7c47b47ab2c19605e8
HB 1666,Texas,TX,88th Legislature (2023),Relating to the commingli...,Relating to the commingling of funds by digital asset service providers; providing for an administrative penalty; creating a criminal offense.,Jan 26 2023,Referred To Business & Commerce,Apr 24 2023,https://openstates.org/tx/bills/88/HB1666/,Eddie Morales,David Cook,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01666E.HTM,ccc412ab25685261f0714981585c3a5c38805ff1
AB 1336,California,CA,2023-2024 Regular Session,Nonfungible token marketp...,Nonfungible token marketplaces.,Feb 16 2023,"In Committee: Set, First Hearing. Hearing Canceled At The Request Of Author.",Apr 21 2023,https://openstates.org/ca/bills/20232024/AB1336/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1336&version=20230AB133698AMD,912dd09d76c60696331191c6ff3a091276f24c65
HB 764,Missouri,MO,2023 Regular Session,Establishes provisions re...,Establishes provisions relating to digital asset mining and virtual currencies,Jan 11 2023,Reported Do Pass (H) - Ayes: 7 Noes: 3 Present: 0,Apr 20 2023,https://openstates.org/mo/bills/2023/HB764/,Phil Christofanelli,,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/1719H.01I.pdf,d635470327e2bfee9b0c1172e4334e671876d47b
SB 696,Rhode Island,RI,2023 Regular Session,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, add consumer protections, including minimum capital requirements and limits on investments.)",Mar 22 2023,04/19/2023 Scheduled For Hearing And/Or Consideration  (04/25/2023),Apr 19 2023,https://openstates.org/ri/bills/2023/SB696/,Roger A. Picard,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0696.pdf,3e9751e7ec1d2ece51c1b9ca03981656bafe67df
SB 227,Louisiana,LA,2023 Regular Session,TAX EXEMPTIONS: Provides ...,TAX EXEMPTIONS: Provides for state and local sales and use taxes on digital art sold in a cultural product district. (gov sig),Apr 18 2023,Read Second Time By Title And Referred To The Committee On Revenue And Fiscal Affairs.,Apr 19 2023,https://openstates.org/la/bills/2023/SB227/,Royce Duplessis,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313085,9e6e73da84da6ce3e36c142b97f2b8a460e17c6b
